"year","month","gu","price","kind"
"2012","01",송파구,882.2,"1"
"2012","01",강동구,644.7,"1"
"2012","10",종로구,591.7,"1"
"2012","10",중구,578.3,"1"
"2012","10",용산구,790.4,"1"
"2012","10",성동구,550.9,"1"
"2012","10",광진구,616.7,"1"
"2012","10",동대문구,448.4,"1"
"2012","10",중랑구,401.6,"1"
"2012","10",성북구,434.8,"1"
"2012","10",강북구,392.7,"1"
"2012","10",도봉구,350.0,"1"
"2012","10",노원구,401.0,"1"
"2012","10",은평구,442.1,"1"
"2012","10",서대문구,450.2,"1"
"2012","10",마포구,586.3,"1"
"2012","10",양천구,610.0,"1"
"2012","10",강서구,444.5,"1"
"2012","10",구로구,419.0,"1"
"2012","10",금천구,343.9,"1"
"2012","10",영등포구,527.5,"1"
"2012","10",동작구,578.2,"1"
"2012","10",관악구,450.1,"1"
"2012","10",서초구,872.2,"1"
"2012","10",강남구,1005.8,"1"
"2012","10",송파구,853.4,"1"
"2012","10",강동구,590.8,"1"
"2012","11",종로구,583.8,"1"
"2012","11",중구,560.6,"1"
"2012","11",용산구,789.0,"1"
"2012","11",성동구,558.7,"1"
"2012","11",광진구,621.0,"1"
"2012","11",동대문구,428.0,"1"
"2012","11",중랑구,393.4,"1"
"2012","11",성북구,430.6,"1"
"2012","11",강북구,410.0,"1"
"2012","11",도봉구,357.9,"1"
"2012","11",노원구,402.1,"1"
"2012","11",은평구,444.0,"1"
"2012","11",서대문구,440.2,"1"
"2012","11",마포구,684.4,"1"
"2012","11",양천구,549.7,"1"
"2012","11",강서구,451.7,"1"
"2012","11",구로구,430.8,"1"
"2012","11",금천구,338.7,"1"
"2012","11",영등포구,524.8,"1"
"2012","11",동작구,573.1,"1"
"2012","11",관악구,433.8,"1"
"2012","11",서초구,855.1,"1"
"2012","11",강남구,1001.0,"1"
"2012","11",송파구,853.8,"1"
"2012","11",강동구,582.2,"1"
"2012","12",종로구,553.7,"1"
"2012","12",중구,539.6,"1"
"2012","12",용산구,764.1,"1"
"2012","12",성동구,549.6,"1"
"2012","12",광진구,640.6,"1"
"2012","12",동대문구,444.0,"1"
"2012","12",중랑구,386.0,"1"
"2012","12",성북구,448.9,"1"
"2012","12",강북구,400.7,"1"
"2012","12",도봉구,353.2,"1"
"2012","12",노원구,394.5,"1"
"2012","12",은평구,461.4,"1"
"2012","12",서대문구,444.8,"1"
"2012","12",마포구,694.8,"1"
"2012","12",양천구,548.7,"1"
"2012","12",강서구,454.7,"1"
"2012","12",구로구,421.1,"1"
"2012","12",금천구,346.4,"1"
"2012","12",영등포구,524.3,"1"
"2012","12",동작구,671.7,"1"
"2012","12",관악구,554.4,"1"
"2012","12",서초구,860.9,"1"
"2012","12",강남구,1004.2,"1"
"2012","12",송파구,837.9,"1"
"2012","12",강동구,573.8,"1"
"2012","02",종로구,597.8,"1"
"2012","02",중구,590.6,"1"
"2012","02",용산구,778.4,"1"
"2012","02",성동구,590.1,"1"
"2012","02",광진구,626.6,"1"
"2012","02",동대문구,462.7,"1"
"2012","02",중랑구,418.5,"1"
"2012","02",성북구,450.4,"1"
"2012","02",강북구,401.3,"1"
"2012","02",도봉구,371.3,"1"
"2012","02",노원구,414.7,"1"
"2012","02",은평구,426.7,"1"
"2012","02",서대문구,471.0,"1"
"2012","02",마포구,587.2,"1"
"2012","02",양천구,567.5,"1"
"2012","02",강서구,473.8,"1"
"2012","02",구로구,434.1,"1"
"2012","02",금천구,358.4,"1"
"2012","02",영등포구,554.5,"1"
"2012","02",동작구,569.4,"1"
"2012","02",관악구,480.4,"1"
"2012","02",서초구,840.8,"1"
"2012","02",강남구,1083.4,"1"
"2012","02",송파구,866.3,"1"
"2012","02",강동구,651.8,"1"
"2012","03",종로구,582.1,"1"
"2012","03",중구,586.3,"1"
"2012","03",용산구,789.5,"1"
"2012","03",성동구,609.1,"1"
"2012","03",광진구,647.4,"1"
"2012","03",동대문구,448.0,"1"
"2012","03",중랑구,414.9,"1"
"2012","03",성북구,457.3,"1"
"2012","03",강북구,394.5,"1"
"2012","03",도봉구,377.2,"1"
"2012","03",노원구,418.1,"1"
"2012","03",은평구,407.4,"1"
"2012","03",서대문구,446.2,"1"
"2012","03",마포구,602.0,"1"
"2012","03",양천구,544.3,"1"
"2012","03",강서구,451.9,"1"
"2012","03",구로구,414.7,"1"
"2012","03",금천구,364.8,"1"
"2012","03",영등포구,613.0,"1"
"2012","03",동작구,595.1,"1"
"2012","03",관악구,462.2,"1"
"2012","03",서초구,877.4,"1"
"2012","03",강남구,1070.5,"1"
"2012","03",송파구,841.1,"1"
"2012","03",강동구,617.7,"1"
"2012","04",종로구,548.4,"1"
"2012","04",중구,580.4,"1"
"2012","04",용산구,787.4,"1"
"2012","04",성동구,577.9,"1"
"2012","04",광진구,620.4,"1"
"2012","04",동대문구,474.8,"1"
"2012","04",중랑구,403.3,"1"
"2012","04",성북구,454.4,"1"
"2012","04",강북구,392.1,"1"
"2012","04",도봉구,362.6,"1"
"2012","04",노원구,413.3,"1"
"2012","04",은평구,416.7,"1"
"2012","04",서대문구,465.6,"1"
"2012","04",마포구,636.2,"1"
